"# of Items","# Items"
"%s label(s) have been generated and statuses have been changed.","%s label(s) gegenereerd en statussen gewijzigd."
"%s orders already had downloaded labels.","Voor %s order(s) zijn de labels reeds gedownload."
"(extra cost Saturday delivery: %s EUR)","(extra kost zaterdaglevering: %s EUR)"
".. as of",".. vanaf"
"2nd presentation","2e aanbieding"
"A previous version of the bpost extension was detected!","Een oudere versie van de bpost extensie werd gedetecteerd!"
"Account id","Account id"
"Action","Actie"
"Actions","Acties"
"All bposts orders","Alle bpost orders"
"Allow customer to choose their delivery date","Uw klant toelaten om de leveringsdatum te kiezen"
"Allow free shipping","Gratis verzending toelaten"
"Allowed countries","Toegelaten landen"
"An error occurred while importing table rates.","Er heeft zich een fout voorgedaan bij het importeren van de prijzen."
"API url","API url"
"April","April"
"August","Augustus"
"Automatic retour labels","Automatische retouretiketten"
"Automatic track and trace information","Automatische track & trace informatie"
"Barcode #","Barcode #"
"Belgium","België"
"Bill to Name","Facturatie aan"
"bpost Home delivery international","bpost internationale thuislevering"
"bpost Home delivery","bpost thuislevering"
"bpost Return Barcodes","bpost retouretiketten"
"bpost Return Label","bpost retouretiket"
"bpost Return Labels","bpost retouretiketten"
"Bpost Shipping Manager is a service offered by Bpost","bpost Shipping Manager is een dienst aangeboden door bpost"
"bpost Shipping Manager","bpost Shipping Manager"
"bpost status","bpost status"
"bpost uses Google Geocoding API to calculate GEO location based on the shipping address. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost gebruikt de Google Geocoding API om de geolocatie te berekenen op basis van het verzendadres. <strong>Opmerking:</strong> Dit is optioneel indien u de gebruikslimiet niet overschrijdt. Bekijk de online documentatie van Google voor meer informatie."
"bpost uses Google Maps API to display the map in the frontend. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost gebruikt de Google Maps API om de map in de frontend weer te geven. <strong>Opmerking:</strong> Dit is optioneel indien u de gebruikslimiet niet overschrijdt. Bekijk de online documentatie van Google voor meer informatie."
"bpost","bpost"
"By using this option, customers with reduced mobility can use the lockers of the machine easiest to reach.","Door deze optie te kiezen, kunnen klanten met beperkte mobiliteit gebruiken maken van de lockers van de makkelijkst bereikbare pakjesautomaat."
"Choose between A6 or A4 format","Kies tussen A6 of A4 formaat voor het afdrukken van uw verzendetiketten"
"Choose delivery date","Kies leveringsdatum"
"Choose your rate type (Flat rate or Table rate)","Kies uw rate type (Flat rate of Table rate)"
"Click here for more information","Klik hier voor meer informatie"
"Click here to change the bpost parcel locker point.","Klik hier om de pakjesautomaat te wijzigen."
"Click here to change the bpost pick-up point.","Klik hier om het afhaalpunt te wijzigen."
"Click here to choose a bpost parcel locker point.","Klik hier om een bpost pakjesautomaat te kiezen."
"Click here to choose a bpost pick-up point.","Klik hier om een bpost afhaalpunt te kiezen."
"Click here to track your bpost shipments.","Klik hier om uw bpost zendingen te volgen."
"Closed","Gesloten"
"Close","Sluiten"
"Country","Land"
"Date Created","Creatiedatum"
"Days between order and shipment","Aantal dagen tussen order en verzending"
"December","December"
"Delivery at home or at the office","Levering thuis of op kantoor"
"Delivery at your doorstep or at your office outside Belgium? bpack@international is the most convenient option for you!","Levering buiten België? Dan is bpack international de gepaste leveringsmethode!"
"Delivery at your doorstep or at your office? bpack@home is the most convenient option for you!","Levering bij u thuis of op kantoor? Dan is bpost thuislevering de handigste leveringsmethode voor u!"
"Delivery Date","Leveringsdatum"
"Delivery in a parcel locker","Levering in een pakjesautomaat"
"Delivery in a pick-up point or postal office","Levering in een afhaalpunt"
"Display delivery date","Leveringsdatum tonen"
"Displays calculated delivery date in the frontend:","De berekende leveringsdatum wordt getoond in de frontend:"
"Displays calculated delivery date","Toont de leveringsdatum berekend door het systeem obv parameters door u ingegeven"
"Do not modify this setting if you are not 100% sure of what you are doing.","wijzig deze setting niet als u niet 100% zeker bent van de implicties"
"Download all undownloaded","Download verzendetiketten"
"Download bpost label","Download bpost verzendetiket"
"Download","Download"
"Drop date","Dropdatum"
"Duplicate Row #%s (Country ","Duplicate rij #%s (Land "
"Email","Email"
"Enabled","Geactiveerd"
"Error creating bpost order","Fout bij het aanmaken van bpost order"
"Error while creating a bpost order for Magento order #%s. Please check your API log.","Fout bij aanmaken bpost order voor Magento order #%s. Gelieve de API log na te kijken."
"Example screenshot of the bpost module.","Voorbeeldscherm van de bpost module."
"Example","Voorbeeld"
"Export CSV","Export CSV"
"Export table rates file","Exporeer table rates bestand"
"Export your table rates configuration here.","Exporteer table rates configuratie."
"February","Februari"
"File has not been imported. See the following list of errors: %s","File werd niet geïmporteerd. Zie errorlijst: %s"
"Filepath","Filepad"
"Filter","Zoek"
"Fixed fee for bpost Home delivery international shipments, e.g.: 4.95.","Vaste prijs voor bpost internationale thuislevering, bv.: 4.95."
"Fixed fee for bpost Home delivery shipments","Vaste prijs voor bpost thuislevering"
"Fixed fee for bpost Home delivery shipments, e.g.: 4.95.","Vaste prijs voor bpost thuislevering, ex: 4.95."
"Flat rate price","Flat rate prijs"
"Flat Rate","Flat Rate"
"Free shipping","Gratis verzendingFree shipping"
"Friday","Vrijdag"
"Furthermore","Bovendien"
"G.T. (Purchased)","Orderbedrag"
"General","Algemeen"
"Generate Label and Complete","Verzendetiket genereren"
"Get your parcel delivered in one of our 1.250 pick-up points.","Laat uw pakje leveren in één van onze 1.250 afhaalpunten."
"Google browser API key","Google browser API key"
"Google server API key","Google server API key"
"Have your parcels delivered in one of our parcel lockers. Very convenient, centrally located, always open, 24/7!","Laat uw pakjes leveren in een pakjesautomaat. U vindt de automaten op handige plaatsen en ze zijn altijd open, 24/7!"
"Home delivery","Thuislevering"
"How do you want to be notified when your parcel is available in the parcel locker?","Optionele services"
"How do you want to be notified when your parcel is available in the pick-up point?","Hoe wilt u verwittigd worden wanneer uw pakje beschikbaar is in het afhaalpunt?"
"I don","Ik niet"
"I wish to use the reduced mobility zone","Gebruik de beperkte mobiliteitszone"
"If the order is placed after this cut-off time, an extra day is added to the displayed date. Order placed = end of checkout.","Indien het order bevestigd wordt na deze cut-off tijd, heeft dit een impact op de weergegeven leveringsdag(en). Order geplaatst = einde checkout."
"If you enable this option","Indien u deze optie activeert"
"If you enable this option, a retour label is automatically added and printed when generating labels. If disabled, you are able to manually create retour labels.","If you enable this option, a retour label is automatically added and printed when generating labels. If disabled, you are able to manually create retour labels."
"If you enable this option, a retour label is automatically added and printed when generating labels. If disabled, you are able to manually create retour labels.","Indien u deze optie activeert, wordt er automatisch een retouretiket gegenereerd en geprint bij het genereren van etiketten. Indien niet geactiveerd kan u nog steeds manueel retouretiketten genereren."
"If you enable this option, labels are generated directly within Magento. It is not needed to use the bpost Shipping Manager for these tasks. Pop-ups must be enabled in your browser, in order to view the printed labels. Click <a href='http://bpost.freshdesk.com/solution/articles/4000061188' target='_blank'>here</a> to learn more about this option.","Indien u deze optie activeert, worden verzendetiketten direct gegenereerd in Magento. Het is dan niet nodig om de bpost Shipping Manager hiervoor te gebruiken. Let erop dat pop-ups gedeactiveerd dienen te zijn in uw browser om de geprinte labels te zien. Klik <a href='http://bpost.freshdesk.com/solution/articles/4000061188' target='_blank'>hier</a> om meer te weten over deze optie."
"If you enable this option, labels are generated directly within Magento. It is not needed to use the bpost Shipping Manager for these tasks.","Indien u deze optie activeert, worden verzendetiketten direct gegenereerd in Magento. Het is dan niet nodig om hiervoor de bpost Shipping Manager te gebruiken."
"If you enable this option, the bpost Track & Trace link will be added in the Magento mail templates. It is always possible to manually send these emails.<br/><a href='http://bpost.freshdesk.com/solution/articles/4000061636' target='_blank'>http://bpost.freshdesk.com/solution/articles/4000061636</a>","Indien u deze optie activeert,zal er automatisch een bpost Track & Trace link toegevoegd worden aan de Magento mailtemplates. Het is dan ook nog steeds mogelijk deze mails manueel te verzenden.<br/><a href='http://bpost.freshdesk.com/solution/articles/4000061636' target='_blank'>http://bpost.freshdesk.com/solution/articles/4000061636</a>"
"Import countries","Importeer landen"
"Import table rates file","Importeer table rates bestand"
"Import your bpost configured countries here.","Importeer landen geconfigureerd in bpost Shipping Manager."
"Import","Importeren"
"Importing and exporting table rates only possible on website scope. View the documentation for more information.","Table rates importeren en exporteren is enkel mogelijk op websiteniveau. Bekijk de documentatie voor meer info."
"Info text","Infotekst"
"Insurance to insure your goods to a maximum of 500","Verzeker uw goederen tot een maximum van 500 euro"
"Insurance to insure your goods to a maximum of 500,00 euro.","Verzekering voor uw goederen voor een maximumbedrag van 500 euro."
"Insurance","Verzekering"
"International insurance","Internationale verzekering"
"Invalid %s ","Ongeldig %s "
"Invalid Country ","Ongeldig land "
"Invalid Region/State ","Ongeldige regio "
"Invalid Shipping Price ","Verzendingskost ongeldig "
"Invalid Table Rates File Format","Ongeldig fileformaat tablerates"
"Invalid Table Rates format in the Row #%s","Ongeldig formaat table rates in rij #%s"
"items selected","geselecteerde items"
"January","Januari"
"July","Juli"
"June","Juni"
"Label Barcode #","Barcode verzendetiket #"
"Label download","Download verzendetiket"
"Label format","Formaat verzendetiket"
"Logo","Logo"
"March","Maart"
"May","Mei"
"Monday","Maandag"
"Next day delivery allowed till","Levering volgende dag mogelijk tot"
"No bpost product configuration found for %s. Please check your bpost shipping manager for international delivery.","Geen bpost productconfiguratie gevonden voor %s. Gelieve de instellingen voor internationale zendingen te verifiëren in uw bpost Shipping Manager."
"No label generated yet - please perform the ‘Generate Label and Complete’ action from the overview.","Nog geen verzendetiket gegenereerd - Gelieve eerst de actie ‘Verzendetiket genereren’ uit te voeren."
"No label response received for Magento order #%s.","Geen antwoord ontvangen voor Magento order #%s."
"No more hassle and 100% transparent!","Supereenvoudig en 100% transparent!"
"No points could be found. Please use the filter above or drag the map to get a better result.","Er werden geen punten gevonden. Gebruik de zoekfunctionaliteit bovenaan of sleep de map naar de gewenste positie."
"no telephone number found","geen telefoonnummer gevonden"
"No undownloaded labels found.","Geen verzendetiketten gevonden die nog niet zijn gedownload."
"No","Neen"
"November","November"
"Number of delivery days shown","Aantal getoonde leveringsdagen"
"October","Oktober"
"Options","Opties"
"Order #","Order #"
"Parcel locker","Pakjesautomaat"
"Passphrase","Passphrase"
"Pending bpost orders","bpost orders in behandeling"
"Pick-up point","Afhaalpunt"
"Please remove or disable the old bpost extension prior to the installation of the new one.","Gelieve de oude bpost extensie te verwijderen of deactiveren vooraleer de nieuwe te installeren."
"Please select a bpost parcel locker","Gelieve een pakjesautomaat te kiezen"
"Please select a bpost pick-up point","Gelieve een afhaalpunt te kiezeen"
"Please select a delivery date","Gelieve een leveringsdatum te kiezen"
"Please select a postcode or city first.","Gelieve eerst een postcode of stad te kiezen."
"Please wait. Loading bpost map based on your address","Gelieve te wachten. De bpost map wordt geladen voor uw adres"
"Product","Product"
"Purchased From (Store)","Aangekocht vanuit (Winkel)"
"Purchased On","Aangekocht op"
"Rate type","Rate type"
"Rates","Rates"
"Region/State","Regio"
"Saturday delivery cost","Kost zaterdaglevering"
"Saturday delivery","Zaterdaglevering"
"Saturday","Zaterdag"
"Select All","Selecteer alle"
"Select one or more countries where bpost Home delivery international should be available for. Make sure your bpost shipping manager is configured properly. Otherwise no countries will be shown in this list after saving the 'Shipping Settings' configuration.","Selecteer de landen voor dewelke bpost thuislevering internationaal beschikbaar dient te zijn. Verifieer ook dat uw bpost shipping manager correct geconfigureerd is, zoniet zullen er geen landen getoond worden in deze lijst"
"Select Visible","Selecteer zichtbare"
"Select which product to use for international shipments","Selecteer het te gebruiken product voor internationale zendingen"
"Select your preferred delivery date","Kies gewenste leveringsdatum"
"Select","Selecteer"
"send additional SMS notification","extra SMS naast de standaard E-mail notificatie"
"Send Email","Verstuur email"
"Sender boxnumber","Busnummer afzender"
"Sender city","Stad afzender"
"Sender company","Bedrijf afzender"
"Sender country","Land afzender"
"Sender email","E-mail afzender"
"Sender name","Naam afzender"
"Sender phonenumber","Telefoonnummer afzender"
"Sender postal code","Postcode afzender"
"Sender streetname","Straatnaam afzender"
"Sender streetnumber","Straatnummer afzender"
"September","September"
"Ship to Name","Verzenden naar"
"Shipment","Zending"
"Shipped with bpost generateLabelAndComplete","Verzending via bpost genereer verzendetiket"
"Shipping Price","Verzendkost"
"Signature","Handtekening"
"Some of the selected orders are not ready to be shipped or have already been shipped","Eén of meerdere van de geselecteerde orders zijn niet klaar om te verzenden of zijn reeds verzonden"
"Something went wrong while processing order #%s","Er is iets misgegaan bij de verwerking van order #%s"
"Sorry","Sorry"
"Status","Status"
"Submit","Bevestig"
"Successfully authenticated with bpost.","Succesvol geconnecteerd met bpost."
"Successfully exported order(s). Download the file here: %s","Order(s) succesvol geëxporteerd. Download bestand hier: %s"
"Sunday","Zondag"
"Table rates condition","Table rates condities"
"Table Rates","Table Rates"
"The Bpost shipping method ","bpost verzendmethode "
"The delivery happens against signature by the receiver. The parcel is delivered on Saturday if it is timely dropped in the bpost network.","Levering na handtekening van de ontvanger. Het pakje wordt geleverd op zaterdag indien het tijdig wordt afgegeven in het bpost netwerk."
"The delivery happens against signature by the receiver.","Levering na handtekening van de ontvanger."
"The email with return label has been sent to %s.","Email met retouretiket werd verstuurd naar %s."
"The file(s) could not be downloaded","Het bestand/de bestanden konden niet worden gedownload"
"The following delivery methods are currently supported:","Volgende leveringsmethoden worden momenteel ondersteund:"
"The order with id %s is not ready to be shipped or has already been shipped.","Order %s is niet klaar om verzonden te worden of werd reeds verzonden."
"The order with id %s only has non-bpost shipments.","Order %s bevat enkel niet-bpost zendingen."
"The parcel is delivered on Saturday if it is timely dropped in the bpost network.","Het pakje wordt geleverd op zaterdag indien het tijd wordt afgegeven in het bpost netwerk."
"The parcel is delivered on Saturday if it is timely dropped in the bpost network.","Levering na handtekening van de ontvanger. Het pakje wordt geleverd op zaterdag indien het tijdig wordt afgegeven in het bpost netwerk."
"The passphrase you entered in bpost Shipping Manager back-office application. This is not the password used to access bpost portal.","De passphrase die u heeft ingegeven in de Shipping Manager applicatie. Dit is niet het paswoord om in te loggen in het bpost portaal."
"The requested file does not exist","Het gevraagde bestand bestaat niet"
"This means that orders are automatically added to the bpost portal.","Orders worden automatisch toegevoegd in het bpost portaal."
"This options provides automatically a second presentation at the receiver's address should he be absent upon first presentation.","Automatische tweede aanbieding op het adres van de ontvanger indien deze afwezig is bij de levering."
"Thursday","Donderdag"
"Track this shipment","Volg deze zending"
"Tuesday","Dinsdag"
"Type in a location","Voer een locatie in"
"Unselect All","Deselecteer alle"
"Unselect Visible","Deselecteer zichtbare"
"Upload your table rates configuration here. Refer to the manual for more information.","Upload table rates configuratie. Bekijk de handleiding voor meer info."
"Use Magento to manage labels","Verzendetiketten beheren in Magento"
"Used in the webservice calls.","Gebruikt in de webservice calls."
"Used to calculate the weight before sending it to bpost","Gebruikt om het gewicht te berekenen voordat het naar bpost wordt gestuurd"
"via E-mail","via E-mail"
"via SMS","via SMS"
"View","Detail"
"Wednesday","Woensdag"
"When activated and correctly installed","Indien geactiveerd en correct geïnstalleerd"
"World Business","World Business"
"World Express Pro","World Express Pro"
"You can use flat rate or calculated table rates.","U kan een flat rate of table rates gebruiken."
"You need a user account from bpost to use this module. Call %s for more information.","U heeft een bpost account nodig om deze module te gebruiken. Bel %s voor meer informatie."
"Your 6 digits bpost account ID used for the Shipping Manager.<br/><a target='_blank' href='http://bpost.freshdesk.com/solution/articles/4000061189'>http://bpost.freshdesk.com/solution/articles/4000061189</a>","Uw bpost Shipping Manager account ID bestaande uit 6 karakters.<br/><a target='_blank' href='http://bpost.freshdesk.com/solution/articles/4000061189'>http://bpost.freshdesk.com/solution/articles/4000061189</a>"
"Your label has been generated and statuses have been changed.","Verzendetiket gegenereerd en statussen aangepast."
"Your return has been generated and is available under -bpost Return labels- in this order.","Retouretiket is gegenereerdand en beschikbaar onder -bpost retouretiketten- van dit order."
"Your selected order is not ready to be shipped or has already been shipped","Dit order is niet klaar om te verzenden of werd reeds verzonden."
"Zip/Postal Code","Postcode"
"This order did not (yet) generate labels which automatically returned return label barcodes. This feature might not be actived. Please refer to the documentation and your Shipping Settings under 'System > Configuration > Sales' for more information.","Voor dit order zijn (nog) geen etiketten met automatische retouretiketten gegenereerd. Deze functionaliteit is mogelijk niet geactiveerd. Zie documentatie en Shipping Settings onder 'System > Configuration > Sales' voor meer informatie."
"The Bpost shipping method ""%s"" is not available because your postal code is not correct. For your country the format should be like ""%s"". Please correct the postal code in your shipping address.","De bpost leveringsmethode ""%s"" is niet beschikbaar omdat de ingegeven postcode niet correct is. Het postcodeformaat van het door u gekozen land is ""%s"". Gelieve de postcode in uw verzendadres te corrigeren."
"Your address could not be determined, please return to the shipping address step to correct it.","Het opgegeven adres kon niet verwerkt worden, gelieve uw leveringsadres te corrigeren."
"bpost Click & Collect","bpost Click & Collect"
"You would like to deliver your parcel in your own stores?","Indien u uw pakketten in uw eigen winkel wil laten leveren,"
"Click & Collect is the most convenient option for you."," is "Click & Collect" dé oplossing voor u!"
"Please find more information on %s.","Meer informatie hierover vindt u op %s."
"The delivery method Click & Collect is not activated by default on your contract.","De leveringsmethode Click & Collect is niet standaard geactiveerd in uw contract."
"Please request an activation of the service in order to use it on your website.","Gelieve de activatie van deze methode te vragen indien u deze wenst te gebruiken op uw site."
"Fixed fee for bpost Click & Collect shipments, e.g.: 4.95.","Vast bedrag voor Click & Collect zendingen, bv. 4,95."
"Click here to choose a bpost Click & Collect point.","Klik hier om uw Click & Collect afleverpunt te kiezen."
"Click here to change the bpost Click & Collect point.","Klik hier om uw Click & Collect afleverpunt te wijzigen."
"No Click & Collect location order data found.","De gegevens voor dit Click & Collect leveringspunt bevinden zich niet in het systeem."
"Bpost Click & Collect is currently unavailable. If you would like to ship using this shipping method, please contact the web merchent.","bpost Click & Collect is niet beschikbaar. Gelieve de webwinkelier te contacteren indien u van deze leveringsmethode gebruik wenst te maken."
"Please select a bpost Click & Collect point","Gelieve een Click & Collect afleverpunt te selecteren"
"Upload a custom map marker","Upload een gepersonaliseerde map marker"
"Please note that the Click & Collect points are updated once a day.","De Click & Collect afhaalpunten worden elke dag geüpdatet."
"If you have added or removed Click & Collect points in Shipping Manager, be aware that it will take up to 24h to be operational in the bpost Magento plugin.","Als u een Click & Collect punt toevoegt of verwijdert in uw Shipping Manager, duurt het 24u vooraleer dit operationeel wordt in uw bpost plugin voor Magento."
"If the points don’t appear after 24h, make sure to have cleared the Magento cache.","Als u deze afhaalpunten niet ziet verschijnen na 24u, verzeker u er dan van dat u de Magento cache hebt geleegd."
"Before using this delivery method, make sure that Click & Collect is duely activated. This is a 2 step process. Find out how here.","Vooraleer u met deze leveringsmethode van start kun gaan, moeten volgende activaties gebeurd zijn."
"Additional fee when using saturday delivery option, e.g.: 4.95.<br />Dear customer, if you decide to offer your own consumers the option of Saturday delivery, you need to select 'Display delivery date' in the general parameters of the plugin and enter the requested information.","Additionale kost voor zaterdaglevering, e.g.: 4.95.<br />Beste klant, als u ervoor koos om uw klant de mogelijkheid te geven om zijn pakje zaterdag te laten leveren, kies dan 'De leveringsdatum tonen' in de algemene parameters van de plugin, en vul de gevraagde gegevens in."